x,y,z,a
12.49,-19.61,-5.8,23.96230790220341
8.76,-19.61,-5.62,22.20076800473353
4.52,-19.61,-5.21,20.78765499040236
1.22,-19.61,-4.55,20.167870487485786
-0.86,-19.48,-3.99,19.903017359184517
-1.78,-17.78,-3.72,18.25199167214362
-1.67,-14.87,-3.32,15.327367680068225
-0.94,-11.93,-2.63,12.252567077963702
-0.24,-9.2,-1.83,9.383309650650988
0.03,-6.71,-0.96,6.778392139733434
-0.14,-4.53,-0.18,4.535735882963205
-0.52,-2.55,0.65,2.682424276657218
-0.95,-0.6,1.4,1.795132307101624
-1.4,1.32,1.77,2.61444066675838
-1.87,2.97,1.95,4.01500933996423
-2.38,4.06,2.0,5.113511513627401
-2.91,4.47,1.95,5.679040411900588
-3.47,4.23,1.69,5.726246589171654
-3.97,3.43,1.43,5.437894813252644
-4.39,2.47,1.31,5.20471901258848
-4.81,1.81,1.17,5.270777931197633
-5.4,1.49,0.78,5.655837692154894
-6.35,1.25,0.3,6.478811619425279
-7.62,0.61,0.3,7.650261433441344
-9.12,-0.23,0.52,9.137707589981195
-11.76,-2.05,1.24,12.001570730533563
-11.97,-2.88,1.95,12.465063176735208
-11.65,-3.25,2.38,12.326775734148812
-11.43,-2.99,1.9,11.966411325038097
-11.15,-3.28,0.85,11.653471585755035
-10.84,-6.61,1.01,12.736475179577749
-12.32,-14.54,3.88,19.448609204773486
-15.86,-19.54,8.22,26.474886213164357
-15.87,-19.61,8.26,26.54499199472473
-9.3,-19.61,2.13,21.80777384328809
-0.79,-19.6,0.64,19.626352182715973
4.64,-19.59,3.71,20.470998998583337
6.87,-19.61,5.14,21.40487327689655
7.5,-19.61,4.08,21.38804572652677
7.86,-19.61,2.5,21.273967660029943
8.45,-19.61,0.83,21.36921851636133
8.46,-19.57,0.11,21.3206144376751
7.11,-17.43,0.24,18.8259023688109
4.97,-12.44,0.37,13.401171590573712
2.95,-7.61,0.27,8.166241485530538
1.53,-4.55,0.15,4.802697158888951
0.63,-3.18,0.18,3.246798423062325
-0.0,-2.68,0.34,2.701481075262235
-0.4,-2.31,0.63,2.42755020545405
-0.31,-1.54,1.02,1.8729922583929703
0.33,-0.08,1.34,1.3823530663329109
1.26,1.72,1.79,2.7839001418872766
2.36,3.21,2.38,4.640915857888397
