x,y,z,a
1.9,-11.41,3.1,11.975312104492309
0.63,-10.22,3.05,10.683997379258384
-0.76,-8.95,2.98,9.463640948387676
-2.14,-7.68,2.91,8.487054848414731
-3.36,-6.57,2.84,7.906965283849423
-4.34,-5.75,2.8,7.72904263152947
-4.92,-5.21,2.63,7.6333085880239375
-5.45,-4.72,2.45,7.614683184479838
-6.25,-4.14,2.16,7.801775438962595
-7.3,-3.37,1.5,8.17905251236352
-8.56,-2.46,0.65,8.930156773539869
-9.95,-1.59,0.15,10.077355803979533
-11.01,-1.07,0.05,11.061984451263706
-11.35,-1.1,0.15,11.404165905492606
-10.68,-1.84,0.34,10.842674946709414
-9.3,-2.92,0.38,9.755039723137983
-7.97,-3.78,0.31,8.826403571104144
-7.18,-4.36,0.47,8.413257395325546
-6.82,-5.03,0.98,8.530750260088501
-6.35,-5.91,1.84,8.867705452934258
-5.57,-7.14,3.19,9.601072856717629
-4.66,-9.02,4.39,11.061107539482652
-3.48,-11.62,4.92,13.089736437377184
-1.83,-14.67,4.92,15.580892143904984
0.01,-17.9,5.07,18.604166200074648
2.19,-19.61,5.85,20.580833316462183
4.56,-19.61,7.31,21.4191923283769
6.99,-19.61,8.55,22.50588145352232
9.77,-19.61,9.35,23.8207367644244
12.96,-19.61,9.88,25.49760969189073
16.38,-19.61,10.43,27.597851365640768
19.01,-19.61,11.01,29.447449804694465
19.61,-19.61,10.6,29.689462777221145
19.61,-19.61,10.23,29.55938260518985
19.61,-19.61,10.1,29.514643823024528
19.49,-18.9,9.48,28.75657316162689
18.22,-15.83,8.7,25.65633060279665
15.96,-12.08,7.32,21.31268167077996
13.76,-9.12,5.58,17.425510035577148
11.88,-6.83,3.89,14.244837661412644
10.4,-4.73,2.57,11.710584955500728
9.37,-2.52,1.85,9.877742657105417
8.38,-0.19,1.45,8.506644461831
7.5,1.8,0.93,7.7688416124928175
5.84,2.77,0.72,6.503606691675012
4.31,3.0,-0.28,5.258754605417522
3.37,3.33,-1.71,5.036854176964031
2.61,3.96,-2.32,5.279782192477262
2.15,4.63,-2.2,5.558722874905709
2.12,5.3,-2.3,6.154218065684706
2.24,6.73,-2.16,7.414586974336466
2.05,7.52,-1.75,7.988454168360735
1.87,7.97,-1.32,8.292177036219137
2.25,7.62,-0.99,8.00668470716813
3.27,6.78,-0.97,7.589611320746274
4.18,5.87,-1.22,7.30874134170857
4.73,4.86,-1.42,6.928845502679361
5.27,3.72,-1.78,6.691763594150648
6.17,2.4,-2.31,7.011775809308224
7.53,0.61,-2.55,7.973424609288032
9.47,-2.1,-2.17,9.939808851280793
11.85,-6.53,-0.72,13.549236140830969
14.89,-13.37,0.41,20.015921162914285
18.46,-18.86,0.01,26.39074269511944
19.61,-19.61,-0.54,27.737984786209687
19.61,-19.61,2.49,27.844286667106413
19.51,-19.61,5.18,28.14293161701531
17.35,-19.59,4.87,26.617804191931384
13.77,-19.61,5.09,24.496389529887868
10.58,-19.61,5.92,23.05504066359459
8.01,-19.61,6.51,22.160602428634476
6.15,-19.61,6.95,21.69509391544549
5.03,-19.61,7.16,21.473672252318654
4.62,-19.33,6.25,20.83400585581179
4.56,-18.0,5.04,19.240457375021
4.14,-15.83,4.33,16.925643266948526
3.11,-12.86,3.85,13.779484750889637
1.69,-9.48,3.43,10.222103501726052
0.24,-6.65,2.98,7.291124741766527
-1.05,-4.36,2.72,5.24504528102475
-2.36,-2.4,2.77,4.359185703775419
-3.64,-0.87,2.88,4.722382873084308
-4.62,0.08,3.06,5.542057379710174
-5.3,0.65,2.85,6.052685354452187
-6.08,1.06,2.32,6.593360296540755
-6.97,1.45,1.72,7.324056253197404
-7.97,1.88,1.18,8.273312516761349
-9.01,2.2,0.76,9.305788521130276
-9.9,2.32,0.21,10.170373641120566
-10.66,2.12,-0.38,10.875403440792438
-11.05,1.52,-0.98,11.197021925494298
-10.88,0.52,-1.46,10.989831663860915
-10.28,-0.66,-1.6,10.424682249354174
-9.4,-1.94,-1.3,9.685742098569422
-8.49,-3.42,-0.66,9.176715098552425
-7.77,-5.1,0.1,9.294778103860253
-7.04,-6.83,1.1,9.87018236913584
-5.95,-8.91,2.29,10.956034866684206
-4.67,-11.41,3.35,12.775738726195051
-3.47,-15.03,4.19,15.984301673829858
-1.87,-18.74,4.54,19.3725604915819
-0.03,-19.61,4.74,20.17475154741689
1.88,-19.61,5.61,20.483129643684823
4.03,-19.61,7.62,21.420957028106844
6.86,-19.6,9.55,22.85655485850832
11.08,-19.61,9.95,24.623586253833945
16.57,-19.61,9.09,27.234997705158705
19.61,-19.61,8.69,29.062351935106697
19.61,-19.61,8.63,29.04446763154732
18.66,-19.6,8.41,28.338731446555617
15.72,-18.41,8.35,25.607987035298187
