x,y,z,a
4.15,0.3,-0.6,4.203867267171979
4.07,1.32,-0.66,4.329307103913974
3.88,2.11,-0.69,4.470190152555034
3.58,2.6,-0.62,4.467751112136843
3.29,2.87,-0.43,4.387014930451
3.11,2.85,-0.23,4.224630161327735
3.14,2.55,-0.0,4.045009270693949
3.34,2.14,0.18,3.9708437390559705
3.57,1.8,0.2,4.003111289984329
3.83,1.51,-0.06,4.117353518948792
4.08,1.19,-0.71,4.3088977708922265
4.4,0.76,-1.45,4.694688488068191
4.8,0.32,-1.93,5.183367631183418
5.34,0.18,-1.9,5.670802412357531
6.02,0.37,-1.6,6.239975961492159
7.03,0.21,-1.73,7.242782614437631
8.43,-1.33,-2.5,8.89290728614664
10.2,-5.37,-3.65,12.091294388939506
12.22,-12.39,-4.86,18.06820688391629
14.77,-18.6,-6.8,24.70532128914741
17.34,-19.61,-9.62,27.888565757313515
19.17,-19.61,-10.84,29.48807555606164
19.51,-19.61,-11.12,29.81353048533501
17.36,-19.59,-11.34,28.526010937388357
14.06,-19.61,-11.48,26.721266811287222
11.42,-19.61,-11.05,25.240265450268147
9.11,-19.61,-10.29,23.946362980628187
6.56,-19.61,-9.16,22.61617341638501
4.35,-19.61,-7.56,21.462250580961918
2.09,-19.61,-2.96,19.94196078624166
1.71,-18.77,-1.04,18.87640325909573
1.33,-16.35,0.19,16.405105912489564
0.88,-13.79,0.81,13.841770118015976
0.4,-11.85,1.29,11.926717905610074
-0.17,-10.38,1.67,10.514856156885838
-0.81,-8.92,2.04,9.186081863340863
-1.39,-7.31,2.37,7.80929574289513
-1.82,-5.65,2.41,6.406481093392847
-2.1,-4.11,2.26,5.139036874746084
-2.46,-2.81,2.04,4.255502320525745
-3.09,-1.89,1.72,4.009812963219108
-3.91,-1.6,1.58,4.510487778500237
-4.77,-2.03,1.77,5.477837164429041
-5.57,-2.69,1.94,6.482638351782398
-6.26,-3.12,2.02,7.280274720091268
-6.95,-3.21,1.98,7.907401595973231
-7.62,-3.15,1.71,8.420866938742114
-8.21,-3.22,1.42,8.932463266087357
-8.73,-3.42,1.14,9.445046320691077
-9.16,-3.46,0.8,9.82431677013725
-9.33,-3.37,0.4,9.92803102331978
-9.11,-3.44,-0.03,9.737895049752796
-8.5,-4.05,-0.43,9.425359409592824
-7.83,-5.16,-0.82,9.413123817309533
-7.39,-6.53,-1.18,9.932039065569567
-7.11,-7.85,-1.47,10.692777936532677
-6.78,-9.07,-1.81,11.467754793332478
-6.33,-10.33,-2.28,12.327862750696085
-5.8,-11.97,-3.04,13.644137935391887
-5.02,-14.45,-3.86,15.776644129852205
-3.93,-17.61,-5.04,18.7338890783521
-2.74,-19.54,-6.23,20.69135326652174
-1.9,-19.61,-7.02,20.91512610528562
-1.31,-19.61,-7.23,20.941372925383856
-0.33,-19.61,-7.18,20.88572239593354
2.27,-19.61,-8.2,21.37627189198341
7.54,-19.61,-9.51,23.06173887632934
13.48,-19.61,-9.17,25.5019881577888
16.67,-19.61,-7.66,26.8536142818802
18.58,-19.61,-6.1,27.6943766855295
19.55,-19.61,-4.11,27.993690360508023
18.35,-19.42,-2.47,26.83206663676878
15.48,-17.87,-1.58,23.69522525742265
13.23,-15.6,-0.93,20.475785699210665
12.36,-13.26,-0.43,18.132349544391648
12.17,-10.99,-0.19,16.398935941090812
11.81,-8.9,0.01,14.78804246680405
10.94,-7.04,0.03,13.009461941218014
9.74,-5.3,-0.14,11.089508555386937
8.45,-3.72,-0.07,9.232865210756628
7.27,-2.49,0.33,7.691677320324871
6.36,-1.68,0.7,6.615285330203075
5.79,-1.21,0.91,5.984672087925954
5.44,-0.84,0.97,5.589284390689027
5.14,-0.33,0.93,5.233870460758462
4.8,0.46,0.78,4.884669896727925
4.43,1.44,0.54,4.689360297524599
4.13,2.39,0.32,4.782405252589956
4.05,3.11,0.21,5.110645751761709
4.19,3.54,0.22,5.489635689187399
4.51,3.77,0.26,5.883927259917478
4.94,3.83,0.41,6.264231796477523
5.28,3.79,0.64,6.530857524092836
5.38,3.71,0.89,6.595498464862227
5.26,3.69,1.1,6.51871919935197
5.04,3.69,1.23,6.366364739786749
4.87,3.69,1.14,6.215512850923888
4.85,3.6,0.79,6.091518694053232
4.99,3.39,0.25,6.037772768165427
5.29,3.07,-0.39,6.128711120619081
5.69,2.77,-0.81,6.380054858698317
5.9,2.75,-0.64,6.54080270303271
6.1,2.61,-0.32,6.64262749219012
7.05,1.0,-0.48,7.136728942589875
9.3,-3.2,-1.54,9.954978653919856
12.65,-11.19,-3.07,17.165765348506895
16.57,-18.55,-4.51,25.278597666801065
19.32,-19.61,-8.59,28.8375206978686
19.61,-19.61,-10.15,29.5317913442446
19.58,-19.61,-11.19,29.885524924283995
18.72,-19.59,-11.3,29.358073846899423
17.14,-19.6,-11.28,28.375658582665533
14.74,-19.61,-10.48,26.676770794082252
11.4,-19.61,-9.35,24.53435550406817
7.76,-19.61,-8.15,22.6095599249521
4.79,-19.61,-6.88,21.32675784079709
2.48,-19.08,-5.33,19.96511207080992
0.97,-16.43,-3.68,16.864999258820024
-0.03,-12.91,-2.15,13.087837865743907
-0.8,-9.7,-0.99,9.783153888189636
-1.21,-7.12,-0.08,7.22252725851554
-1.64,-5.45,0.59,5.72190527709084
-2.49,-4.6,0.96,5.318054155421887
-3.61,-4.34,0.81,5.702964141567085
-4.88,-4.22,0.22,6.455323384618311
-6.02,-3.9,-0.17,7.174907664911096
-6.89,-3.21,-0.42,7.612660507339073
-7.41,-2.25,-0.54,7.762873179435563
-7.67,-1.26,-0.57,7.793676924276499
-7.92,-0.55,-0.56,7.958800160828264
-8.22,-0.28,-0.52,8.241189234570458
-8.49,-0.33,-0.43,8.507285113360195
-8.6,-0.56,-0.37,8.626152096966525
-8.5,-1.06,-0.32,8.571814277036104
-8.27,-1.43,-0.43,8.403731314124697
-7.71,-1.87,-0.66,7.960942155297952
-7.29,-2.21,-0.8,7.6595169560488605
-7.25,-2.43,-1.04,7.716799854862118
-7.28,-2.7,-1.39,7.887997210952854
-6.96,-3.52,-1.86,8.018204287744233
-6.73,-4.83,-2.35,8.610708449366987
-6.33,-6.47,-2.72,9.451359690541883
-5.62,-8.35,-3.13,10.540578731739544
-4.83,-10.95,-3.79,12.55370463249793
-4.31,-14.51,-4.9,15.909940289014283
-4.01,-18.32,-6.59,19.87789224238828
-3.65,-19.61,-8.24,21.5817561843331
-2.89,-19.61,-9.02,21.777616949519523
-0.97,-19.61,-8.28,21.30848187928929
2.29,-19.6,-7.04,20.95150829892684
6.27,-19.61,-5.93,21.42498308050674
10.97,-19.61,-5.37,23.10259509232675
14.99,-19.61,-4.32,25.05822419885336
17.99,-19.61,-2.97,26.77710029110695
18.69,-19.34,0.11,26.895423402504747
15.49,-17.44,0.56,23.33253736737605
12.55,-15.28,0.42,19.777697034791487
11.07,-13.8,-0.21,17.692625582428406
10.74,-12.82,-0.56,16.733606903474218
10.85,-11.9,-0.88,16.127829984222924
10.46,-10.37,-1.33,14.78909733553742
9.28,-8.03,-1.22,12.332384197712946
7.84,-5.36,-0.79,9.52991605419481
6.58,-3.07,-0.3,7.267138363895379
5.65,-1.67,0.12,5.892860086579352
5.04,-1.07,0.49,5.175577262489663
4.71,-0.68,0.81,4.8272766649530245
4.51,-0.03,1.04,4.62845546591949
4.33,0.99,1.14,4.5856951490477424
4.15,2.2,1.11,4.826447969262696
4.0,3.3,1.12,5.305129593139078
3.96,4.07,1.23,5.810283986174858
4.03,4.37,1.27,6.078708744462101
4.17,4.23,1.27,6.074100756490627
4.32,3.93,1.12,5.946570440178103
4.5,3.73,0.91,5.915319095365862
4.74,3.6,0.8,6.005630691276313
5.05,3.52,0.67,6.19207558093407
5.37,3.38,0.4,6.35777476795144
5.66,3.08,-0.0,6.443756668279771
5.97,2.74,-0.49,6.58700235311936
6.4,2.43,-1.05,6.925850128323599
7.0,2.14,-1.85,7.549973509887303
7.73,1.78,-2.53,8.325995435982414
8.42,1.09,-2.63,8.888273173119737
9.13,-0.75,-2.39,9.4673914041831
10.42,-4.93,-1.77,11.662512593776691
12.64,-12.02,-1.04,17.473740297944225
16.08,-18.54,-2.43,24.66177000947012
19.1,-19.61,-5.76,27.973911060128867
19.61,-19.61,-6.48,28.479722611008697
18.19,-19.61,-7.75,27.847633651712677
16.02,-19.59,-9.41,26.999196284334094
14.48,-19.61,-10.36,26.48682880225566
13.28,-19.61,-10.07,25.735489115227637
11.32,-19.61,-8.87,24.31812903987476
8.59,-19.61,-7.3,22.61924401919746
6.02,-19.61,-5.43,21.21974080897314
4.04,-19.12,-3.51,19.85487597543737
2.55,-16.21,-1.73,16.500287876276584
1.51,-12.35,-0.33,12.446344844973565
0.79,-9.16,0.55,9.210439728916311
0.25,-7.06,1.15,7.157415734746724
-0.35,-5.94,1.61,6.16426800196098
-1.16,-5.37,1.78,5.775023809474728
-1.98,-5.09,1.56,5.679973591487904
-2.68,-4.97,1.11,5.75459816147053
-3.25,-4.56,0.92,5.674724662924184
-3.67,-3.69,0.81,5.266982058067029
-4.05,-2.5,0.82,4.829585903573928
-4.45,-1.17,1.0,4.708651611661241
-4.92,0.02,1.28,5.083817463284849
-5.68,0.6,1.6,5.931475364527784
-6.7,0.37,2.04,7.013451361491002
-7.72,-0.43,2.41,8.098851770467219
-8.59,-1.37,2.39,9.020925673122466
-9.19,-2.24,2.15,9.700319582364283
-9.57,-2.81,1.76,10.1281093990932
-9.63,-2.93,1.15,10.131352328292609
-9.35,-2.77,0.56,9.767753068131892
-9.09,-2.46,0.03,9.417037750800407
-8.92,-2.37,-0.42,9.239031334506882
-8.63,-2.92,-0.69,9.13670618986952
-8.36,-4.04,-0.85,9.32382432266932
-8.12,-5.66,-1.05,9.95351696637927
-7.76,-8.1,-1.62,11.33366666176485
-7.39,-11.63,-2.45,13.995409961841062
-7.03,-16.3,-3.59,18.11074266837227
-6.26,-19.43,-5.0,21.016957439172774
-4.73,-19.61,-6.57,21.215322293097504
-2.5,-19.61,-7.27,21.06311942709341
0.43,-19.61,-6.23,20.580327985724622
3.54,-19.6,-5.63,20.69754816397344
7.78,-19.61,-6.22,21.99474710016008
13.49,-19.61,-6.12,24.576138834243267
18.2,-19.61,-4.66,27.15709299612165
19.61,-19.61,-2.88,27.881868660475394
19.61,-19.37,-0.95,27.57991116736963
16.78,-16.86,-0.51,23.792605994299997
12.68,-13.8,-1.0,18.76758908331062
10.46,-11.88,-1.34,15.885263611284518
10.3,-10.59,-1.11,14.814526654604933
10.72,-9.44,-1.25,14.338566873994068
10.41,-8.22,-1.78,13.383007883133
9.23,-6.73,-1.85,11.571875388198752
7.65,-4.94,-1.29,9.197293080031756
6.18,-2.99,-0.36,6.874743631583653
5.13,-1.16,0.65,5.299528280894442
4.5,0.38,1.53,4.768154779366962
4.3,1.59,2.04,5.017937823448991
4.42,2.6,2.26,5.603927194387879
4.59,3.58,2.21,6.226443607710584
4.62,4.46,2.02,6.731745687412738
4.55,5.03,1.92,7.049099233235407
4.47,5.15,1.75,7.040305391103429
4.48,4.73,1.49,6.683068157665311
4.55,3.95,1.25,6.153657449029804
4.6,3.28,1.06,5.748217114897453
4.63,3.02,0.94,5.607218561818328
4.74,3.04,0.95,5.7106654603469815
5.03,3.08,0.99,5.980585255641793
5.5,2.99,0.88,6.321748175939943
6.04,2.76,0.54,6.6626421185592735
6.7,2.35,0.06,7.1004295644700255
7.47,1.89,-0.39,7.715251130066992
8.31,1.56,-0.75,8.488356731429235
9.12,1.21,-1.11,9.26663908868798
9.97,0.59,-1.77,10.143071526909392
11.06,-0.58,-2.4,11.332254850646452
12.26,-3.55,-2.38,12.983624301403673
13.66,-9.79,-1.76,16.897848975535318
16.28,-17.36,-2.42,23.922048407274826
19.03,-19.61,-5.4,27.854137933168925
19.61,-19.61,-6.13,28.402131962231287
19.58,-19.61,-6.29,28.41641427062887
17.97,-19.59,-8.85,28.018056677792625
15.77,-19.6,-11.78,27.77807228732764
14.4,-19.61,-12.98,27.57521532100883
12.94,-19.61,-12.2,26.47330164524251
6.62,-19.61,-7.92,22.160841590517272
3.83,-19.61,-5.83,20.81369501073752
