x,y,z,a
-1.86,-13.25,4.19,14.020634793046996
0.48,-15.97,4.67,16.645726178211632
3.11,-18.66,5.84,19.798315584917823
6.13,-19.61,7.76,21.962390580262436
10.21,-19.61,9.97,24.252775098944863
14.2,-19.61,11.93,26.99105407352592
17.97,-19.6,13.78,29.949445737776184
19.61,-19.61,14.63,31.35508092797721
19.61,-19.61,13.91,31.0256716285079
19.61,-19.61,12.58,30.452595948457333
19.6,-19.61,11.55,30.035222656074986
19.61,-19.61,11.17,29.89771061469423
19.61,-19.61,11.51,30.026393389816235
19.61,-19.24,12.1,30.01898899030412
19.51,-16.88,12.32,28.589454349462496
18.05,-13.99,11.94,25.7698700035526
15.47,-11.77,10.93,22.3006434884736
13.14,-9.8,9.56,18.97612183772016
11.37,-7.6,7.98,15.834055071269646
9.96,-5.18,6.22,12.834422464606655
8.7,-2.74,4.51,10.175347659908232
7.5,-0.09,3.04,8.093188494036204
6.24,3.07,1.91,7.211837491236197
5.15,5.81,2.03,8.024929906235942
4.34,7.98,2.43,9.403238803731403
4.16,10.01,2.49,11.122310910957308
4.75,11.55,2.29,12.696814561140917
5.72,12.01,1.94,13.443292007540414
6.83,11.26,1.5,13.254678419335567
8.29,9.55,1.1,12.69395919325409
9.97,7.82,0.91,12.703597915551327
11.19,7.05,1.15,13.275582849728291
11.32,7.27,1.86,13.58141745179788
10.59,7.62,2.61,13.305059188143431
9.75,7.29,2.87,12.507737605178644
9.29,5.99,2.72,11.38343533385243
9.08,4.32,2.18,10.28888720902314
8.79,2.94,1.65,9.414361369737192
8.41,2.02,1.28,8.743391790375174
8.03,1.36,1.08,8.215649700419315
7.82,0.78,1.26,7.9591708110832755
8.05,-0.08,2.03,8.302397244169903
8.91,-1.49,3.22,9.59044315972938
10.33,-3.43,4.53,11.789601350342595
11.87,-5.75,5.66,14.3525259100968
13.25,-8.46,6.85,17.148078609570227
14.99,-11.59,8.0,20.567649355237464
17.72,-14.95,8.24,24.604847083450853
19.54,-17.74,7.75,27.50603024792927
19.61,-19.22,8.19,28.65373623107465
19.61,-19.61,9.7,29.38016677964916
19.61,-19.47,11.43,29.904479597545247
19.61,-18.57,12.23,29.64742653250025
19.61,-17.81,11.76,28.98354360667446
19.61,-18.03,10.46,28.618955256962124
16.88,-17.93,7.96,25.880125579293463
13.77,-16.38,6.98,22.50861390668026
10.96,-14.53,5.92,19.13867550276142
8.66,-12.96,4.62,16.25735525846686
6.5,-11.86,3.0,13.853144047471678
4.27,-11.12,1.34,11.98678021822374
2.1,-10.56,0.01,10.766786893033595
0.09,-10.13,-0.85,10.16599724572066
-1.8,-9.8,-1.32,10.050990000989954
-3.55,-9.41,-1.66,10.193439066379904
-5.15,-8.91,-2.27,10.538666898616732
-6.67,-8.53,-3.48,11.3736625587363
-7.83,-8.38,-5.04,12.527366043985465
-8.56,-8.47,-6.43,13.65135158143691
-9.23,-8.74,-7.25,14.633625661468864
-9.75,-9.1,-7.29,15.199230243666948
-9.77,-9.62,-6.68,15.251875294533455
-9.4,-10.08,-5.52,14.847114197715326
-8.9,-9.94,-3.77,13.864577166289637
-8.61,-9.28,-1.9,12.800800756202715
-8.3,-8.88,-0.55,12.167452486038318
-7.51,-9.37,-0.14,12.009021608773963
-6.36,-10.6,-0.3,12.365257781380864
-5.28,-11.95,0.07,13.064677569691492
-4.67,-13.01,1.64,13.91971982476659
-4.63,-13.73,4.21,15.088866756652072
-4.66,-14.36,6.82,16.566158275230862
-3.95,-15.13,8.79,17.93832489392474
-2.19,-16.51,10.02,19.43647601804401
0.73,-18.63,10.56,21.427165001464846
4.88,-19.61,11.21,23.109102102851164
10.1,-19.61,12.59,25.39823222194805
16.09,-19.61,14.54,29.23784875807384
19.4,-19.61,15.98,31.879029157112047
19.61,-19.61,16.12,32.077384556724695
19.61,-19.61,14.97,31.515156671036877
19.61,-19.61,13.62,30.896740928453927
19.6,-19.61,12.48,30.404974921877507
19.61,-19.61,11.71,30.103626027440612
19.61,-19.6,11.57,30.04291929889637
19.61,-18.47,11.68,29.361801715834808
19.61,-15.25,11.49,27.370325171616063
19.33,-11.84,10.68,25.05787101890342
17.76,-9.47,9.35,22.192814152333185
15.73,-7.95,7.77,19.26157574031782
13.88,-6.67,6.25,16.619440423792856
12.35,-5.34,4.95,14.336687204511367
11.06,-3.92,3.85,12.349595135064144
9.82,-2.5,2.81,10.515631222137833
8.65,-1.18,1.81,8.915772540840193
7.68,0.32,0.83,7.731345290439433
6.88,2.14,0.12,7.206136274037565
6.27,3.97,-0.02,7.4211993639842335
6.06,5.55,0.2,8.219860096133024
6.26,6.93,0.49,9.351609487141772
6.58,8.2,0.63,10.532487835264751
7.01,9.19,0.28,11.56177322040179
7.7,9.74,-0.31,12.419891303872188
8.54,9.87,-0.75,13.073293387666322
9.23,9.75,-1.02,13.4646128796932
9.58,9.33,-1.09,13.416907244219884
9.59,8.45,-0.97,12.81840473693977
9.41,7.23,-0.79,11.893069410375103
9.17,6.0,-0.63,10.976602388717556
8.87,4.93,-0.42,10.15668252925137
8.49,3.95,-0.19,9.365826178186312
8.12,3.03,0.04,8.667000634590952
7.91,2.03,0.49,8.181020718712304
8.08,0.73,1.46,8.243233588829083
8.73,-0.97,2.96,9.269056046869066
9.9,-3.03,4.64,11.345505718124688
11.34,-5.71,6.47,14.249933333177388
13.42,-10.37,8.65,19.038271980408304
16.96,-16.96,10.07,26.013229326633017
19.46,-19.61,10.7,29.626570844429494
19.61,-19.61,13.02,30.636980921755328
19.61,-19.61,16.96,32.50762679741479
19.61,-19.59,19.45,33.86181773029912
19.6,-19.6,19.46,33.867559699511865
19.61,-19.61,17.85,32.980701933100214
19.17,-19.61,16.09,31.795111259437355
16.55,-19.24,14.67,29.31363164126888
13.06,-17.8,13.57,25.914252835071284
10.14,-16.38,12.48,22.95374479251697
8.01,-15.58,11.27,20.83049207292041
6.33,-14.97,10.08,19.125276468589934
4.65,-14.04,9.07,17.349610946646614
2.78,-13.07,8.14,15.6464980107371
0.94,-12.27,7.25,14.282821850040698
-1.22,-11.69,6.42,13.392568834992035
-2.95,-11.25,5.52,12.873826160081546
-4.06,-11.15,3.94,12.503187593569889
-4.5,-11.36,1.6,12.323132718590674
-4.73,-11.16,-0.43,12.128619047525568
-5.35,-10.08,-2.08,11.599797412024058
-6.69,-8.75,-3.31,11.50107386290515
-8.47,-7.92,-4.0,12.266511321480122
-10.36,-7.66,-4.43,13.624613755993233
-12.53,-7.95,-4.56,15.524078072465366
-14.36,-8.56,-4.23,17.244596255059147
-15.41,-9.39,-3.26,18.337606168745143
-15.61,-10.38,-2.03,18.8556994036286
-14.5,-11.44,-0.61,18.47960226844723
-12.52,-12.41,0.73,17.64345204318021
-10.35,-13.06,1.92,16.774161678009428
-8.58,-12.95,2.41,15.720273534515869
-7.05,-12.05,2.79,14.236892217053551
-5.99,-11.0,3.38,12.973222421588243
-5.71,-10.37,4.16,12.547772710724402
-5.66,-10.42,5.51,13.075630003942448
-5.18,-11.25,7.2,14.32602177856784
-3.84,-13.09,9.03,16.359541558368925
-1.41,-16.36,11.13,19.837202423729007
1.68,-19.21,13.35,23.453549837924324
5.2,-19.61,15.66,25.628649983953505
10.02,-19.61,17.76,28.29081299644816
16.25,-19.61,19.0,31.77443311846806
19.61,-19.6,19.58,33.94242920004401
19.61,-19.61,19.61,33.96551633642569
19.61,-19.61,18.89,33.55497429592221
19.6,-19.61,17.81,32.95312124822169
19.6,-19.61,16.61,32.32033725071569
19.61,-19.61,15.59,31.81434110585979
19.61,-19.61,15.11,31.581898296334245
19.61,-18.55,14.5,30.64155022188009
17.96,-12.01,11.79,24.61312251625137
16.57,-9.24,10.33,21.60211563713147
15.7,-6.74,8.99,19.30641603198273
15.29,-4.0,7.42,17.45968212769064
14.9,-0.94,5.57,15.93482036296613
13.96,2.25,3.88,14.662827148950504
12.69,5.43,2.23,13.981913316853312
11.41,8.34,1.49,14.21139683493498
10.28,11.14,1.53,15.235448795490075
9.9,13.01,1.45,16.41257444766055
10.69,12.75,0.99,16.6678942881217
12.42,10.81,0.12,16.46593149505973
13.96,8.97,-0.64,16.605785136511916
14.39,8.78,-0.81,16.876510302784755
14.13,9.94,-0.54,17.284446765806535
13.75,10.94,-0.02,17.57118379620451
13.34,10.87,0.49,17.21489471359032
12.55,9.79,0.9,15.942289672440406
11.46,8.28,1.14,14.184131979081412
10.41,6.84,1.25,12.518634110796592
9.58,5.44,1.38,11.102900521935698
9.05,3.9,1.5,9.968074036643188
8.87,2.15,1.57,9.260901683961448
8.83,0.5,1.59,8.98593345179008
8.64,-0.79,1.86,8.873178686355866
8.6,-1.86,2.87,9.255079686312808
9.38,-3.09,4.57,10.881975923516832
11.12,-4.77,6.6,13.782862547381075
14.38,-7.82,8.91,18.6366547427375
18.42,-12.92,10.49,24.82464299844008
19.61,-17.91,10.65,28.613680294572383
19.61,-19.61,11.03,29.84568813078365
19.61,-19.61,11.22,29.9164269256875
19.6,-19.61,10.71,29.722318213759845
19.61,-19.6,9.92,29.44687589541546
19.61,-19.61,9.32,29.2569068768385
19.61,-19.56,8.85,29.07693587708306
19.61,-18.63,9.27,28.59303936275401
19.5,-16.87,10.03,27.666727309170486
18.29,-15.37,10.11,25.94172507756568
16.22,-14.9,9.67,24.054257419425777
13.89,-15.04,8.67,22.23291703758191
11.52,-14.79,7.55,20.210319146416268
9.4,-13.83,6.31,17.873024366346062
7.66,-12.81,4.97,15.731261869284358
5.98,-12.15,3.69,14.035633224048
4.12,-11.77,2.63,12.744575316580775
2.2,-11.68,1.56,11.98732664108224
0.34,-11.76,0.37,11.770730648519658
-1.44,-11.63,-0.82,11.747463556019232
-3.26,-11.4,-1.95,12.016243173305044
-5.14,-11.33,-2.92,12.779471820071436
-7.05,-11.55,-3.85,14.068670868280345
-8.75,-12.02,-4.72,15.598759566068066
-9.95,-12.65,-5.31,16.94759864995628
-10.81,-13.18,-5.29,17.84804190940844
-11.63,-13.13,-4.66,18.14853713112988
-12.22,-12.3,-3.71,17.73083472372353
-12.28,-11.31,-3.07,16.974669363495714
-11.42,-11.39,-3.1,16.424326470208758
-9.62,-12.65,-3.37,16.245731747139
-7.73,-13.79,-2.89,16.070752938179343
-6.15,-13.93,-1.18,15.272845183527528
-4.77,-13.41,1.2,14.283591985211563
-3.66,-12.84,3.72,13.86
-2.86,-12.61,6.0,14.254532612471024
-1.91,-13.22,7.71,15.422729978833187
-0.01,-15.35,8.64,17.614545126116656
3.1,-18.51,9.55,21.057839395341585
7.24,-19.61,11.42,23.81986775781931
12.89,-19.61,13.72,27.18349867106881
18.49,-19.61,16.04,31.36421208957751
19.61,-19.6,18.05,33.08344903422253
19.61,-19.61,18.33,33.242940603983875
19.61,-19.61,17.35,32.71279107627473
19.59,-19.61,16.41,32.21192791498205
19.61,-19.61,15.66,31.84870170038333
19.61,-19.61,15.33,31.6877436874259
19.61,-18.87,15.54,31.33880342323236
19.61,-15.36,15.8,29.497825343574057
19.61,-11.17,15.45,27.35001828152954
