x,y,z,a
-8.28,-5.35,-1.86,10.031973883538573
-8.59,-8.28,-3.2,12.352590821362131
-8.67,-12.07,-5.45,15.828970276047649
-8.46,-17.42,-9.36,21.50901206471372
-8.14,-19.61,-14.69,25.818749001452414
-7.27,-19.61,-19.1,28.3234002196064
0.62,-19.61,-19.61,27.739657532132583
13.31,-19.6,-18.31,29.94281549888053
15.85,-19.6,-15.33,29.50239651282587
12.53,-19.61,-12.77,26.544790449351822
13.65,-19.61,-10.1,25.94001927524341
16.75,-19.61,-7.36,26.819474267777885
16.55,-19.61,-4.78,26.10178154839244
13.87,-19.44,-2.31,23.992219572186315
11.11,-18.12,-0.51,21.26091719564328
8.69,-15.96,0.15,18.173062482696743
7.14,-13.37,0.35,15.16110154309376
6.9,-10.66,1.24,12.758651966410872
7.72,-8.22,3.11,11.697816035482862
9.56,-6.16,5.51,12.637218839602328
11.87,-3.89,7.81,14.731771787534589
12.96,-0.29,9.61,16.136846036323206
12.39,4.24,10.92,17.050985308773214
11.24,8.04,11.9,18.23702826668863
10.04,10.01,12.68,19.02062301818739
8.77,10.28,12.92,18.695392480501717
7.83,9.42,12.53,17.52273380497461
7.47,7.56,11.58,15.717852906806325
7.58,5.14,9.91,13.493854156615152
7.94,3.27,8.12,11.818244370463828
8.29,2.48,6.66,10.919253637497391
8.39,2.11,5.53,10.267672569769646
8.13,1.5,4.43,9.379328334161247
7.75,0.83,3.4,8.503610997687982
7.42,0.89,2.68,7.939200211608219
7.56,2.35,2.23,8.224901215212252
8.45,4.21,1.82,9.61452026884337
11.08,4.13,0.64,11.841997297753451
16.45,-0.06,-2.74,16.676741288393245
19.61,-9.42,-8.18,23.242222355015883
19.61,-18.26,-15.79,31.1015080020246
19.61,-19.61,-19.27,33.770358304288095
19.6,-19.61,-19.61,33.95974381528813
19.47,-19.61,-19.01,33.54121494519839
17.07,-19.58,-17.05,31.07191336239209
11.7,-19.6,-15.19,27.41871805901946
6.15,-19.61,-13.46,24.567177290034767
2.82,-19.61,-11.57,22.942741771636623
1.27,-19.61,-9.39,21.77928143901906
0.13,-18.64,-7.21,19.986260280502705
-1.21,-15.82,-5.53,16.802303413520423
-2.57,-12.74,-4.31,13.692647662157963
-3.72,-10.32,-3.49,11.511772235411888
-4.64,-8.71,-2.45,10.168392203293498
-5.42,-7.4,-1.16,9.24564762469347
-6.56,-5.97,-0.18,8.8716909323984
-8.19,-4.5,0.23,9.3476735073493
-10.22,-3.21,-0.04,10.71233401271637
-12.16,-2.08,-0.82,12.363834356703428
-13.59,-1.18,-1.01,13.67847213690184
-14.24,-0.71,-0.66,14.272956946617612
-14.41,-0.68,-0.3,14.429154514385104
-14.88,-0.9,-0.25,14.90928905078978
-15.66,-1.16,-0.55,15.712533213966486
-16.16,-1.38,-1.13,16.258133349188647
-15.88,-1.67,-1.47,16.035092765556428
-15.2,-2.08,-1.15,15.384696942091514
-15.08,-2.58,-0.48,15.306639082437398
-15.14,-3.31,0.21,15.499025775835074
-15.3,-4.32,0.12,15.89864145139452
-14.63,-6.0,-1.08,15.849394310193688
-12.38,-9.29,-3.21,15.807359045710324
-10.22,-14.68,-6.1,18.898698367877085
-8.4,-19.1,-9.76,23.03535543463569
-6.18,-19.61,-14.12,24.942311440602293
-2.65,-19.61,-18.77,27.27430109095373
1.28,-19.6,-16.68,25.76860104856296
3.87,-19.61,-14.23,24.53613457739421
7.88,-19.61,-10.66,23.67027883232473
14.84,-19.61,-8.1,25.89184620686597
17.84,-19.61,-6.15,27.21470558356272
13.97,-19.0,-4.18,23.95064299763161
9.87,-16.67,-2.6,19.54650352364842
8.47,-14.52,-1.84,16.91026019906258
8.07,-12.89,-1.65,15.297042197758364
7.89,-11.13,-1.64,13.741128046852632
8.31,-8.95,-0.97,12.251510111002643
9.14,-6.44,0.28,11.184435613834076
9.88,-3.84,1.55,10.71272607696099
10.26,-1.1,2.77,10.684123735711788
10.22,1.97,3.98,11.143145875380077
9.92,5.05,5.02,12.211031897427834
9.49,7.55,5.87,13.472917278748504
8.98,8.9,6.26,14.108082789663522
8.5,8.88,6.3,13.812834611331592
8.16,8.02,6.22,13.022841471814052
7.99,7.41,5.85,12.36813243784202
7.83,7.55,5.37,12.13046990021409
7.66,7.76,5.12,12.046061597053203
7.62,7.38,4.78,11.635170819545364
7.49,6.5,4.41,10.85348791863703
7.12,5.56,4.12,9.92886700485005
6.78,5.03,3.72,9.22538346086492
6.78,5.29,3.52,9.292088032299306
7.92,6.57,2.79,10.661866628316076
11.51,6.52,0.25,13.23075961538112
17.22,1.15,-5.1,17.996135696309913
19.61,-11.2,-11.76,25.461533732279367
19.61,-19.35,-17.2,32.47790941547808
19.61,-19.61,-19.61,33.96551633642569
19.6,-19.61,-18.05,33.08344903422253
19.2,-19.59,-14.13,30.85555055415476
14.05,-19.58,-13.46,27.60345087122261
5.63,-19.61,-14.43,24.98947578481789
-0.07,-19.61,-14.48,24.376779935011925
-2.26,-19.61,-12.52,23.375416573828154
-2.94,-18.53,-9.49,21.025332339822835
-3.4,-15.03,-6.39,16.682116172716217
-4.28,-11.35,-3.89,12.73864199983656
-5.58,-8.63,-2.11,10.491205841084238
-6.66,-6.58,-0.92,9.407358821688476
-7.6,-4.76,-0.43,8.97788950700553
-8.84,-3.2,-0.31,9.40647117680164
-10.34,-1.85,-0.65,10.524286199073074
-11.62,-0.64,-1.33,11.713364162357456
-12.31,0.42,-1.84,12.453838765617611
-12.35,1.3,-1.74,12.539541458921056
-12.59,1.95,-1.69,12.851719729281369
-13.45,2.24,-2.33,13.832895575402858
-14.39,1.99,-3.53,14.94968561542349
-14.81,1.1,-4.38,15.483232866556005
-14.61,-0.22,-4.5,15.288901203160414
-14.27,-1.1,-3.9,14.834180125642266
-13.97,-1.12,-3.04,14.340742658593385
-13.53,-0.79,-2.03,13.704229274205828
-12.88,-0.44,-1.08,12.93268726908681
-12.01,-0.54,-0.57,12.03563874499397
-10.9,-2.1,-0.94,11.14017953176698
-9.74,-5.2,-2.56,11.33407252491354
-8.71,-9.53,-5.06,13.8668165056007
-8.2,-15.44,-9.78,20.03202436100755
-7.65,-19.41,-16.26,26.451052909099857
-4.89,-19.61,-19.61,28.160545094156117
-1.13,-19.61,-19.61,27.755739946901077
3.74,-19.61,-19.61,27.98377744336886
8.72,-19.6,-19.6,29.057845756352968
11.2,-19.61,-19.42,29.78470244941185
12.45,-19.61,-17.76,29.23990766059291
12.25,-19.61,-14.5,27.29220767911603
11.64,-19.61,-10.82,25.24111923033525
11.5,-19.28,-7.61,23.704018646634584
10.62,-16.94,-5.41,20.71270383122397
8.98,-13.21,-3.83,16.42599768659426
7.94,-9.52,-2.41,12.62862225264498
7.91,-6.46,-1.22,10.285334219168574
8.23,-4.13,-0.33,9.214049055654089
8.4,-2.44,0.39,8.755895156978525
8.41,-1.06,1.41,8.593008786216851
8.59,0.54,2.89,9.079195999646664
8.8,2.59,4.76,10.33468432028768
8.92,4.89,6.83,12.2526486932418
8.86,6.85,8.61,14.126365420730131
8.36,7.88,9.79,15.093975619431744
7.58,7.91,10.06,14.873738601978992
6.95,7.33,9.48,13.852862520071438
6.82,6.64,8.51,12.7680108082661
7.29,6.03,7.47,12.054289692885268
7.85,5.29,6.62,11.551233700345604
8.22,4.33,6.01,11.065143469472051
8.25,3.47,5.21,10.356036886763198
8.1,3.37,3.83,9.572658982748733
8.26,3.95,2.38,9.460153275713877
9.28,4.9,0.8,10.52465676399948
12.51,5.38,-1.89,13.748330807774447
17.46,1.48,-5.98,18.514923710347823
19.61,-9.84,-10.44,24.297557490414547
19.61,-18.85,-16.6,31.865884578966263
19.61,-19.61,-19.61,33.96551633642569
19.6,-19.61,-19.61,33.95974381528813
19.22,-19.61,-19.61,33.74185234986366
16.32,-19.58,-18.38,31.425200078917555
12.54,-19.6,-17.51,29.12064044625393
7.78,-19.61,-16.83,26.9875786242486
3.14,-19.61,-14.73,24.726192590045077
0.16,-18.48,-11.74,21.894373706502773
-1.72,-14.73,-8.37,17.029039902472483
-3.41,-10.97,-5.14,12.58525327516296
-5.18,-8.18,-2.52,10.004758867658929
-7.0,-6.18,-0.88,9.379061786767371
-8.58,-5.09,-0.56,9.991901720893775
-9.37,-5.12,-0.96,10.720676284638015
-9.43,-5.66,-1.46,11.094687918098463
-9.41,-5.67,-1.84,11.139236957709446
-9.79,-4.9,-1.76,11.088358760429786
-10.83,-4.06,-1.06,11.61447803390234
-12.89,-3.57,-0.77,13.397384073019628
-15.86,-3.37,-1.74,16.307179400497194
-18.42,-3.62,-4.1,19.21485883372553
-18.69,-4.43,-6.62,20.31662865733388
-17.13,-5.2,-8.45,19.79594402901766
-14.34,-6.63,-8.91,18.137822361022284
-13.92,-8.73,-8.24,18.381428127324604
-13.48,-11.83,-7.12,19.2964685888377
-12.48,-14.72,-6.13,20.248597482294915
-10.71,-17.04,-5.19,20.78465299205161
-7.53,-18.39,-4.59,20.395124417369956
-3.17,-18.8,-4.84,19.670142348239374
0.12,-18.64,-6.35,19.692295447712542
0.11,-19.09,-10.61,21.840611255182395
-3.52,-19.57,-16.34,25.73656737018361
-7.96,-19.61,-19.37,28.689904147626564
-8.7,-19.61,-16.12,26.834613841082195
-5.4,-19.61,-11.28,23.25834258927321
-2.55,-19.61,-9.79,22.065781200764228
-0.92,-19.61,-9.89,21.98205176956873
1.11,-19.61,-9.11,21.65124245857498
3.72,-19.61,-6.98,21.14499704421828
6.68,-18.91,-4.44,20.540791124004937
9.48,-15.82,-2.66,18.63379725123143
10.28,-11.16,-1.29,15.227872471228538
8.83,-6.58,-0.04,11.012125135504046
7.32,-3.22,0.88,8.045197325112666
7.31,-1.08,1.6,7.560588601425156
8.45,0.38,2.31,8.768295159265568
9.48,1.64,3.06,10.095721866216405
9.58,2.91,3.81,10.712637397018533
9.0,4.09,4.77,10.97638373964759
8.45,4.94,5.76,11.357099101443117
8.24,5.25,6.55,11.762763280794186
8.44,4.76,7.21,12.07788474858077
9.25,3.48,7.49,12.40052418246906
10.61,1.93,7.26,13.000176921873024
11.8,0.54,6.51,13.487464550463145
12.1,-0.26,5.35,13.23253943882277
11.65,-0.24,4.54,12.505666715533405
11.22,-0.02,4.2,11.980350579177555
11.15,-0.12,3.98,11.839649488054956
11.15,-0.24,3.42,11.665183239023724
11.29,-0.06,1.9,11.448916979347873
12.95,-0.31,-1.43,13.032401927503615
16.49,-2.89,-6.45,17.940866757211033
19.28,-10.0,-11.57,24.608602154531248
19.61,-17.98,-17.61,31.90524408306572
19.61,-19.61,-19.61,33.96551633642569
19.61,-19.61,-19.61,33.96551633642569
19.6,-19.61,-19.61,33.95974381528813
