x,y,z,a
-2.95,-13.32,-0.96,13.676494433881809
-1.92,-17.19,-1.5,17.361811541426203
-0.8,-19.55,-1.54,19.62687188524957
0.19,-19.61,-1.86,19.698928904892263
1.07,-19.61,-2.47,19.79388541949256
2.19,-19.61,-3.05,19.96623900488021
4.25,-19.6,-3.22,20.312333691626872
7.38,-19.61,-2.6,21.11341990299061
11.27,-19.61,-1.12,22.645516112466943
15.21,-19.61,0.68,24.826570443780597
17.85,-19.61,2.32,26.618734004456336
18.17,-18.91,3.03,26.399202639473792
16.38,-15.27,2.58,22.54182113317378
13.51,-11.28,1.43,17.657955714068375
10.81,-8.6,0.12,13.814141305198817
9.06,-6.57,-0.69,11.212698158784084
8.45,-4.35,-0.93,9.549340291349973
8.72,-1.73,-0.67,8.915166852056108
9.49,1.03,-0.31,9.550764367316368
10.41,3.65,-0.28,11.0348991839527
11.14,5.82,-0.17,12.56984089000334
11.53,7.53,0.27,13.773695945533284
11.51,8.6,0.96,14.400059027656797
11.47,8.56,1.64,14.405696789812009
11.84,7.95,2.15,14.422572586054129
12.46,7.68,2.61,14.867619177259014
12.83,7.89,3.1,15.377613598995133
12.65,8.26,3.46,15.499087069888988
12.0,8.34,3.67,15.067332212438936
11.05,7.87,3.61,14.03821569858506
10.06,6.88,3.14,12.585610831421732
9.06,5.71,2.28,10.949251115943955
8.01,4.77,1.16,9.394604834691028
7.15,4.14,-0.0,8.262088113788185
7.07,2.7,-0.87,7.617860592056014
7.99,-0.79,-2.51,8.412151924448345
9.81,-8.0,-4.97,13.599154385475591
13.08,-17.06,-6.68,22.51116167593312
17.57,-19.61,-9.01,27.8287099952549
19.61,-19.61,-11.81,30.14266577461257
16.94,-19.61,-12.59,28.81013363384488
10.23,-19.58,-10.2,24.33247418574609
5.39,-19.6,-7.39,21.62924409220073
1.28,-19.61,-6.04,20.558990733983027
-3.05,-19.61,-4.26,20.297837323222392
-6.26,-19.61,-2.53,20.73983124328643
-7.59,-19.37,-2.15,20.914767510063317
-7.65,-16.74,-2.52,18.5768807930718
-7.21,-12.05,-2.45,14.254441413117528
-6.83,-7.27,-1.85,10.145161408277346
-6.88,-3.29,-0.98,7.688881583169297
-7.5,0.05,-0.07,7.500493317109215
-8.79,2.87,0.83,9.283851571411512
-10.8,4.81,1.44,11.91006717025559
-13.02,5.4,1.54,14.17928065876404
-14.79,4.58,1.29,15.536556890122084
-15.64,3.1,0.73,15.96096801575644
-15.27,2.03,0.08,15.404551275515947
-13.78,1.88,0.03,13.907684925968088
-11.86,2.31,0.73,12.104899834364597
-10.47,2.69,1.72,10.946022108510473
-10.26,2.5,2.24,10.79514705782186
-10.98,1.6,2.14,11.30044246921332
-11.84,0.26,1.63,11.954501244301245
-12.08,-1.17,1.41,12.218158617402215
-11.66,-2.64,1.78,12.0869185485797
-11.05,-4.29,2.43,12.100061983312315
-10.5,-6.26,2.65,12.50840117680913
-9.93,-9.04,1.78,13.546028938401095
-9.19,-13.4,0.05,16.24864917462372
-8.16,-18.32,-0.42,20.059521429984315
-6.94,-19.61,0.25,20.803321850127684
-5.22,-19.61,-0.31,20.29523589416984
-3.63,-19.61,-1.85,20.028766811763525
-1.96,-19.6,-2.05,19.804143505842408
4.45,-19.61,-0.98,20.132436514242382
8.46,-19.61,0.33,21.359602056218183
11.81,-19.61,2.41,23.01817325506088
13.49,-19.61,4.39,24.203394390043723
13.62,-19.29,5.41,24.22553611377878
12.78,-16.34,5.19,21.383640943487617
11.47,-12.09,4.13,17.169330214076496
10.48,-8.48,3.1,13.832960637549723
10.27,-5.62,2.31,11.932870568308363
10.86,-3.03,1.49,11.372800886325232
11.96,-0.47,0.73,11.991471969695798
13.06,2.11,0.33,13.233465154675098
13.88,4.47,0.42,14.588067041249843
14.28,6.49,0.89,15.710843389200976
14.1,8.17,1.53,16.367644913059422
13.44,9.2,2.2,16.43513309955231
12.72,9.22,3.21,16.034678044787803
12.44,8.01,4.24,15.391273501565747
12.87,6.23,4.61,15.02337844827188
13.69,4.98,4.48,15.240961255773865
14.44,4.89,4.25,15.826819010780405
14.82,5.65,4.25,16.42003045064168
14.63,6.44,4.24,16.537475623564802
13.79,6.35,3.78,15.645286830224622
12.58,5.23,2.84,13.916712973974851
11.43,4.06,1.65,12.241364303050538
10.19,3.1,1.01,10.69888779266331
9.09,0.99,0.86,9.184105835627111
9.43,-4.62,0.3,10.505203472565393
11.92,-14.44,-0.15,18.72491655522128
16.0,-19.61,-1.91,25.381099266974235
19.22,-19.61,-4.26,27.7868332128726
18.95,-19.61,-7.37,28.24838933461517
13.68,-19.59,-8.36,25.314029706864137
8.56,-19.59,-6.59,22.37118235587918
5.62,-19.61,-4.51,20.892022400907003
2.92,-19.61,-1.95,19.921872401960616
-0.26,-19.61,0.65,19.6224921964566
-3.17,-19.61,2.11,19.97631347371181
-5.41,-19.58,1.72,20.38634101549368
-7.16,-18.52,0.65,19.86651705760222
-8.72,-15.45,-0.46,17.74690113794518
-10.01,-11.16,-1.53,15.06939282121214
-11.13,-6.59,-2.31,13.139296023760178
-12.07,-2.52,-2.3,12.542938252259717
-12.76,0.47,-1.78,12.892125503577756
-13.13,2.05,-0.97,13.324424940686932
-13.42,2.27,-0.17,13.611693502279572
-14.01,1.52,0.27,14.094800459744013
-14.79,0.59,0.55,14.81197826085361
-15.35,0.2,0.86,15.375373166203154
-15.47,0.63,0.97,15.513178268813906
-14.67,1.5,0.89,14.77332054752756
-12.93,2.07,0.9,13.125539988891886
-10.96,1.85,0.72,11.138334704972731
-9.56,0.61,0.13,9.580323585349298
-9.08,-1.32,-0.71,9.202874550921576
-9.37,-3.45,-1.36,10.077152375547367
-9.82,-5.57,-1.34,11.36894454204083
-9.99,-7.69,-0.98,12.645022736238952
-9.65,-10.26,-0.4,14.090780673901644
-8.91,-13.28,-0.05,15.99215432641894
-8.1,-16.7,-0.14,18.561239182770095
-7.73,-19.29,0.03,20.781191014953883
-7.43,-19.61,1.12,21.00027142681732
-6.78,-19.61,2.3,20.87607482262889
-5.85,-19.61,2.77,20.650605318004605
-4.35,-19.6,2.57,20.24073615262054
-1.98,-19.61,2.14,19.8255416067254
0.71,-19.61,1.71,19.69721553925833
3.51,-19.61,2.51,20.07915087846097
6.85,-19.61,3.71,21.10068008382668
10.11,-19.61,5.12,22.649030884344697
12.16,-19.45,6.03,23.717693817064088
12.4,-16.99,5.86,21.83482768422961
11.21,-12.98,4.9,17.836885938974884
9.68,-9.39,3.66,13.973907828520982
8.83,-6.46,2.51,11.224998886414198
9.14,-3.83,1.72,10.058175778937253
10.38,-1.28,1.44,10.55729131927314
11.95,1.11,1.28,12.069507032186523
13.39,3.14,1.14,13.800409414216666
14.5,4.63,1.56,15.300996699561765
14.99,5.65,2.39,16.196749673931496
14.72,6.12,3.04,16.22881388148869
13.85,6.07,3.37,15.492717644106213
13.03,5.92,3.21,14.667358317024917
12.87,6.18,2.72,14.533674690180732
13.43,6.61,2.55,15.184185852392616
14.57,6.72,2.92,16.308577497746395
15.84,6.58,3.51,17.50777255963762
16.41,6.19,3.92,17.971382807118655
15.52,5.23,3.72,16.794692614037327
13.62,3.93,2.64,14.419393191115914
11.61,2.42,1.51,11.955274986381534
9.63,0.11,0.78,9.662163318843252
8.15,-4.37,-0.59,9.266471820493496
8.26,-13.04,-2.2,15.591959466340334
10.67,-19.26,-3.44,22.285199124082336
14.27,-19.61,-4.68,24.69994736836497
13.41,-19.61,-6.44,24.614097586545807
7.31,-19.6,-7.77,22.3152190220038
4.03,-19.59,-7.28,21.283970494247544
3.92,-19.61,-5.98,20.87292265112866
3.38,-19.61,-3.55,20.213337181178176
1.2,-19.61,-1.12,19.678579725173257
-2.07,-19.61,0.39,19.722806595411317
-4.96,-19.46,1.06,20.11011685694541
-6.92,-17.92,0.87,19.229396766409497
-7.78,-15.07,0.66,16.972592612797847
-7.85,-11.5,0.37,13.928725713431218
-7.04,-7.72,0.25,10.450956893988224
-6.64,-3.65,0.44,7.589841895586495
-7.57,0.39,1.01,7.647032104025718
-9.32,3.29,1.77,10.040886415053206
-11.37,4.18,2.25,12.32119312404444
-13.14,3.18,2.43,13.735971025013122
-14.15,1.32,2.26,14.39001389853394
-14.55,-0.08,1.96,14.681638191972992
-14.61,-0.31,1.95,14.74281859075801
-14.37,0.4,2.14,14.533977432210358
-13.74,1.3,2.24,13.981959805406394
-12.73,1.68,2.06,13.004572272858496
-11.54,1.3,1.63,11.726828215677076
-10.52,0.35,1.02,10.57512647678504
-10.08,-1.37,0.67,10.19471431674277
-10.62,-2.53,0.97,10.96020985200557
-11.13,-5.02,1.62,12.316724402210191
-11.31,-8.92,2.08,14.553655898089662
-11.15,-13.54,1.89,17.641604235442987
-10.74,-18.01,1.4,21.0158916061156
-10.35,-19.61,0.87,22.19079764226604
-9.9,-19.61,0.41,21.971121955876537
-9.26,-19.61,-0.23,21.687613976645743
-8.33,-19.6,-0.49,21.302323816898475
-7.06,-19.61,-0.57,20.849954436401053
-5.78,-19.61,-1.6,20.506596499663225
-4.38,-19.61,-2.02,20.19447696772561
-1.7,-19.61,-1.18,19.71888688542028
2.6,-19.61,0.63,19.791639649104365
7.04,-19.61,2.92,21.039013760155203
10.02,-19.35,4.89,22.33237560135509
11.54,-15.3,5.4,19.91033902272887
12.26,-8.52,4.72,15.658109719886369
12.0,-3.34,3.52,12.943956118590638
11.15,-0.97,2.18,11.402447105775146
10.53,-0.44,1.12,10.598532917342853
10.49,-0.16,0.77,10.519439148547796
10.81,0.69,0.86,10.866084851500103
11.09,2.1,0.99,11.330410407394782
10.95,3.7,1.39,11.641503339345824
10.29,5.01,2.13,11.641353014147452
9.52,5.64,3.13,11.499430420677363
9.15,5.51,3.8,11.33678084819496
9.49,4.83,3.9,11.340149910825694
10.55,4.03,3.62,11.859502519077266
11.96,3.49,3.39,12.911769824466358
13.25,3.34,3.58,14.12566812579143
14.21,3.48,4.16,15.209868506992429
14.61,3.58,4.7,15.759394023883024
14.15,3.14,4.57,15.197598494499056
13.05,1.47,3.54,13.601286703837989
12.07,-1.98,1.87,12.373447377347995
11.66,-8.48,0.33,14.42133488966954
12.4,-16.78,-1.38,20.91011238611596
13.82,-19.61,-2.52,24.122497797699143
13.44,-19.61,-3.04,23.96721302112534
9.12,-19.61,-3.18,21.859526527351868
2.91,-19.59,-2.58,19.972295811949117
0.37,-19.6,-2.04,19.709350572761146
2.04,-19.61,-3.6,20.041798821463107
4.02,-19.61,-4.64,20.548530361074487
3.7,-19.61,-4.06,20.36481524590881
1.42,-19.61,-3.02,19.891930524712777
-1.33,-19.43,-2.06,19.584110906548705
-3.71,-17.34,-1.22,17.774366374079275
-5.51,-13.74,-0.22,14.805272709409982
-6.82,-10.22,0.92,12.321006452396654
-7.91,-7.21,1.81,10.854874481079918
-8.99,-4.5,2.27,10.306454288454397
-9.84,-1.89,2.24,10.267195332708928
-10.45,0.51,2.01,10.653764592856366
-10.89,2.11,1.9,11.254074817593848
-11.59,2.36,2.01,11.99740805340887
-12.62,1.4,2.07,12.865041779955476
-13.44,-0.17,2.03,13.593505802404325
-13.56,-1.67,2.12,13.8259502385912
-12.97,-2.41,2.54,13.434306829903806
-12.07,-2.26,2.89,12.615252672855982
-11.19,-1.72,2.9,11.686937152222562
-10.36,-1.35,2.62,10.77109558030194
-9.74,-1.43,2.31,10.111804982296682
-9.4,-2.06,1.81,9.791818013014744
-9.24,-3.03,1.41,9.825812943466817
-9.28,-4.34,1.39,10.338573402554143
-9.37,-5.81,1.44,11.118749929735804
-9.41,-7.19,1.53,11.94090030106608
-9.32,-8.84,1.68,12.954937282750542
-9.06,-11.35,1.74,14.626472575436637
-8.73,-15.11,1.51,17.515852819660253
-8.62,-18.79,0.99,20.696584259244325
-8.58,-19.61,0.47,21.410030359623494
-8.36,-19.61,0.55,21.324732120240103
-7.85,-19.61,0.95,21.14419778568106
-6.55,-19.6,0.76,20.6794608246927
-4.33,-19.61,0.21,20.08345338829953
-1.43,-19.61,0.35,19.66518497243288
2.21,-19.61,1.26,19.77432173299504
6.18,-19.61,2.67,20.73338853154496
9.24,-19.57,3.92,21.99383777334006
10.7,-17.28,4.05,20.72416222673428
10.77,-12.08,3.35,16.527002148000104
