x,y,z,a
0.59,-7.96,0.2,7.984340924584822
-1.15,-7.19,0.52,7.29993150652799
-2.79,-6.8,0.42,7.362098885508127
-4.06,-6.76,0.15,7.886932229961152
-4.95,-6.77,-0.19,8.388772258203224
-5.65,-6.29,-0.42,8.46540016774163
-6.36,-5.13,-0.47,8.184583068183743
-7.24,-3.68,-0.24,8.12512153755253
-8.24,-2.45,0.03,8.596569083070293
-9.06,-1.68,0.13,9.215362174109057
-9.43,-1.36,-0.18,9.529265449130902
-9.33,-1.45,-0.62,9.462335863834046
-8.82,-1.68,-1.02,9.03632668732157
-8.01,-1.82,-1.55,8.359126748650244
-6.92,-1.94,-2.1,7.487322618933954
-5.82,-2.25,-2.59,6.755960331440676
-4.96,-2.7,-2.82,6.312210389396095
-4.31,-3.13,-2.98,6.1035563403641975
-3.84,-3.39,-3.43,6.1646248872092775
-3.51,-3.55,-3.79,6.267910337584608
-3.04,-3.72,-3.95,6.219525705389439
-2.59,-3.74,-3.89,5.985632798627059
-2.27,-3.56,-3.55,5.5162487253567525
-2.25,-3.62,-2.86,5.132884179484279
-2.55,-4.16,-2.14,5.3280108858747655
-3.13,-5.83,-1.85,6.870829644227835
-3.92,-9.6,-2.27,10.615050635771832
-4.35,-15.75,-3.96,16.812691634595573
-3.67,-19.53,-7.2,21.135983535194192
-1.54,-19.61,-9.98,22.057291311491536
0.94,-19.61,-11.82,22.9161100538464
4.6,-19.6,-14.07,24.561858643026184
9.6,-19.6,-14.8,26.369679558159216
12.51,-19.61,-13.23,26.759766441432184
12.29,-19.61,-9.65,25.074263698063
11.61,-19.61,-5.9,23.540480029090315
11.73,-19.61,-3.89,23.179238555224373
12.72,-19.61,-3.09,23.577501988124187
13.68,-19.52,-2.5,23.967119142692138
13.77,-17.91,-1.92,22.67305449206172
12.8,-14.77,-1.55,19.6060041823927
11.45,-11.63,-1.16,16.36169306642806
10.33,-9.23,-0.67,13.869055483341324
9.62,-7.51,-0.12,12.204871978025825
9.19,-6.18,-0.11,11.075224602688651
8.8,-5.42,-0.04,10.335279386644563
8.21,-5.04,-0.02,9.633592268723024
7.37,-4.54,0.11,8.656823897943172
6.28,-3.56,0.41,7.230497908166491
5.06,-2.28,0.7,5.593925276583518
3.8,-1.01,1.07,4.074923312161838
2.69,0.2,1.5,3.086438076488818
1.86,1.43,1.99,3.07645900346486
1.34,2.6,2.41,3.789947229184069
1.14,3.62,2.82,4.728255492250815
1.2,4.51,2.99,5.542580626386954
1.41,5.04,2.74,5.907393672339774
1.55,5.13,2.81,6.051074284786132
1.68,4.96,2.77,5.924263667326092
1.85,4.72,2.62,5.706601440437207
1.92,4.5,2.47,5.480629525884778
1.85,4.21,2.32,5.150631029301168
1.69,3.86,2.16,4.735113515006795
1.46,3.49,1.88,4.2244644631006185
1.23,3.13,1.49,3.678301238343592
1.11,2.73,0.89,3.07848988954
1.09,2.19,0.2,2.4544245761481447
1.07,1.56,-0.53,1.9645355685250396
1.11,0.74,-1.24,1.8213456563760764
1.26,-0.77,-1.89,2.398457837861654
1.44,-3.63,-2.4,4.583721195709879
1.69,-8.57,-3.18,9.295880808185956
2.28,-15.85,-4.77,16.708494845437155
3.2,-19.61,-8.4,21.572021231215214
4.28,-19.61,-12.04,23.40581338044034
6.01,-19.61,-12.66,24.102858751608697
9.11,-19.6,-12.29,24.86355163688406
12.65,-19.6,-11.77,26.12882316523268
12.74,-19.61,-10.75,25.73756398729297
8.89,-19.61,-8.99,23.332473079380165
4.6,-19.61,-6.78,21.25277628922866
2.1,-18.87,-5.04,19.644044899154554
0.6,-16.68,-4.49,17.284169057261618
-0.83,-14.85,-4.3,15.48229311181002
-2.1,-14.12,-3.98,14.819743587525393
-2.96,-14.03,-3.75,14.821099824237065
-3.47,-14.15,-3.85,15.069369595308226
-3.85,-14.01,-3.88,15.038517214140494
-4.14,-13.35,-3.74,14.468921867229778
-4.4,-12.22,-3.49,13.44873600008566
-4.65,-10.39,-3.04,11.782028687793968
-4.94,-7.82,-2.36,9.545972972934711
-5.16,-5.26,-1.61,7.542234416935077
-5.15,-3.45,-0.94,6.269657087911587
-4.98,-2.46,-0.5,5.576916710871698
-4.94,-1.95,-0.1,5.311882905335922
-5.18,-1.6,0.26,5.427706698044764
-5.52,-1.33,0.38,5.69066779912516
-5.73,-1.22,0.3,5.866114557353956
-5.83,-1.36,-0.07,5.986935777173495
-5.98,-2.63,-1.13,6.629796376963625
-6.12,-3.21,-1.63,7.10038027150659
-6.26,-3.37,-1.88,7.35383573381946
-6.31,-3.15,-1.87,7.296266168390514
-6.28,-2.59,-1.67,6.995384192451477
-6.17,-1.86,-1.4,6.594581108758918
-5.94,-1.23,-1.02,6.151170620296596
-5.53,-0.87,-0.51,5.621200939301139
-5.02,-0.91,-0.06,5.102166206622438
-4.47,-1.96,-0.0,4.880829847474709
-3.92,-4.45,-0.39,5.943147314344479
-3.7,-8.72,-1.42,9.57835058869741
-4.24,-14.84,-3.32,15.786880629180674
-5.28,-19.25,-6.37,20.95275160927557
-6.02,-19.61,-9.08,22.43298687201506
-5.68,-19.61,-9.83,22.659289485771613
-4.76,-19.61,-10.58,22.784777813268228
-3.59,-19.6,-10.58,22.560684830031203
-0.69,-19.61,-9.6,21.84463778596477
3.7,-19.61,-7.59,21.35064870208865
7.37,-19.61,-5.46,21.64903231093713
9.2,-19.61,-3.62,21.961249964425978
9.93,-18.71,-2.13,21.288633117229487
9.82,-14.97,-1.37,17.95578458324782
9.69,-10.72,-0.9,14.47841496849707
9.5,-7.6,-0.1,12.166347027764742
8.81,-5.59,0.63,10.45280345170615
7.41,-4.18,0.77,8.542446956229814
5.84,-3.28,0.61,6.725778765317812
4.88,-2.98,0.55,5.744327636895375
4.69,-3.07,0.47,5.625113332191628
4.82,-3.19,0.43,5.795981366429675
4.78,-2.97,0.39,5.641046002294256
4.33,-2.29,0.44,4.91798739323313
3.61,-1.32,0.53,3.880128863839448
2.94,-0.25,0.69,3.0302145138587138
2.53,0.67,0.92,2.7742025881323085
2.39,1.33,1.21,2.9908360035281105
2.42,1.73,1.54,3.349761185517558
2.52,1.93,1.81,3.6539567594595312
2.63,1.98,2.0,3.851921598371389
2.71,1.96,2.31,4.064701711073028
2.7,2.04,1.94,3.900666609696348
2.57,2.19,1.73,3.7939293614931735
2.33,2.43,1.94,3.885537285884669
2.05,2.67,2.0,3.9155331693142377
1.79,2.78,2.05,3.890372732785381
1.54,2.72,1.99,3.705414956519715
1.42,2.32,1.75,3.234393297049696
1.39,1.66,1.37,2.562147536735541
1.38,1.04,0.96,1.976765034089788
1.45,0.55,0.57,1.6522409025320732
1.56,0.04,0.03,1.5608010763707207
1.49,-0.88,-0.74,1.8820467581864169
1.36,-2.9,-1.73,3.64039832985348
1.46,-7.31,-2.92,8.005879089768968
2.02,-14.8,-4.63,15.638327915733193
2.88,-19.49,-7.96,21.24890820724679
3.66,-19.61,-10.77,22.67025804881806
3.88,-19.61,-10.13,22.41034136286192
4.91,-19.6,-8.55,21.940159525399995
7.33,-19.59,-8.23,22.477319680068614
8.64,-19.61,-9.32,23.368014464220103
7.02,-19.61,-9.29,22.8065034584436
3.89,-19.61,-8.02,21.540766003092838
1.4,-19.61,-6.83,20.8125202702604
-0.38,-19.25,-5.81,20.11126549971433
-1.88,-17.16,-4.61,17.86762715079985
-3.08,-15.03,-3.51,15.73872294692298
-4.07,-14.13,-2.99,15.005395696215412
-4.88,-14.04,-2.87,15.138457649311569
-5.52,-13.95,-2.77,15.256008652331056
-6.09,-13.41,-2.47,14.933757062440783
-6.61,-12.28,-2.02,14.091518725815185
-7.03,-10.64,-1.44,12.833709518295947
-7.35,-8.6,-0.89,11.347889671652611
-7.56,-6.39,-0.36,9.905316754147744
-7.53,-4.36,0.16,8.702649021993246
-7.3,-2.73,0.54,7.812457999887103
-7.04,-1.46,0.94,7.250986139829534
-6.98,-0.42,1.32,7.116122539698147
-7.15,0.36,1.54,7.322820494863985
-7.29,0.78,1.5,7.483481809959853
-7.2,0.74,1.11,7.322547370963195
-6.88,0.38,0.54,6.911613415115171
-6.45,0.06,0.08,6.450775147220681
-6.0,0.07,-0.23,6.004814734860685
-5.58,0.4,-0.41,5.609322597248263
-5.22,0.86,-0.48,5.31209939666042
-5.02,1.3,-0.48,5.207763435487445
-4.96,1.57,-0.41,5.218677993515216
-4.97,1.65,-0.32,5.246503597635286
-4.91,1.52,-0.16,5.142382716212398
-4.76,1.07,0.03,4.878872820642079
-4.59,0.29,0.16,4.601934375890208
-4.48,-0.63,0.19,4.528068020690502
-4.68,-1.86,0.22,5.0408729402753245
-5.34,-4.42,0.17,6.934039226886448
-6.41,-9.98,-0.35,11.866381082705882
-7.82,-17.33,-1.74,19.09211617396039
-9.43,-19.61,-4.67,22.255019658495023
-9.98,-19.61,-6.51,22.94629817639438
-8.06,-19.61,-6.48,22.16993685151133
-4.37,-19.59,-6.64,21.14130081144488
-0.26,-19.6,-7.07,20.837766195060357
3.9,-19.61,-7.15,21.234043420884305
7.56,-19.61,-5.16,21.64096347208229
9.73,-19.61,-3.43,22.158291901678705
10.03,-19.61,-2.77,22.199682430161022
9.25,-19.38,-2.36,21.603622381443348
8.8,-17.59,-2.17,19.787799271268145
8.69,-15.25,-1.97,17.66237526495233
8.3,-13.09,-1.57,15.578928076090472
7.42,-10.7,-1.19,13.0752629036666
6.45,-8.09,-0.87,10.3830390541498
5.74,-5.69,-0.5,8.097758949240216
5.33,-3.96,-0.15,6.641761814458571
5.02,-3.07,0.05,5.884539064361795
4.63,-2.75,0.07,5.385564037313083
4.13,-2.49,-0.01,4.822561560001074
3.59,-1.97,-0.08,4.09577831431341
3.2,-1.21,0.01,3.4211401608235814
2.99,-0.31,0.39,3.031220876148751
2.84,0.75,0.92,3.0780675756064872
2.71,1.88,1.44,3.598902610518934
2.44,3.64,2.1,4.859341519177264
2.32,4.02,2.4,5.225208129826026
2.22,4.18,2.67,5.434123664400728
2.18,4.08,2.11,5.084378034725585
2.11,3.58,1.91,4.573466956259769
1.98,3.0,1.85,4.042635279121776
1.91,2.66,1.68,3.680502683058389
1.86,2.55,1.57,3.5251950300657127
1.79,2.41,1.46,3.3382330655602823
1.73,2.06,1.21,2.949677948522516
1.73,1.58,0.87,2.4992398844448687
1.88,1.06,0.24,2.1715432300555286
1.99,0.45,-0.69,2.153764146790451
1.93,-0.35,-1.52,2.481491486989226
1.88,-1.53,-2.36,3.383031185194721
2.16,-4.05,-3.22,5.606826196699877
2.73,-9.16,-3.86,10.308156964268637
3.58,-16.38,-4.9,17.467993588274528
4.28,-19.61,-7.52,21.434105999551274
4.31,-19.61,-7.86,21.561720710555548
4.33,-19.61,-6.09,20.98544972117586
7.57,-19.59,-5.28,21.655285728893077
12.81,-19.6,-6.26,24.23723787893332
14.05,-19.61,-8.23,25.488968201949643
9.12,-19.61,-7.91,23.028126280702907
3.42,-19.61,-5.98,20.784823790448645
0.42,-19.38,-3.94,19.78090998917896
-0.85,-17.56,-3.01,17.836372949677855
-1.75,-15.42,-2.74,15.759013293985127
-2.82,-14.2,-2.46,14.684822096300657
-3.99,-13.73,-2.02,14.439993074790582
-4.98,-13.64,-1.61,14.609657764643222
-5.71,-13.67,-1.25,14.867262693582838
-6.26,-13.46,-0.83,14.867686437371486
-6.78,-12.64,-0.31,14.346919529989703
-7.28,-11.06,0.23,13.24291886254688
-7.7,-8.9,0.98,11.809335290353983
-8.03,-6.43,1.92,10.46480769054071
-8.41,-3.98,2.51,9.636835580209928
-8.92,-1.99,2.41,9.451698260101198
-9.37,-0.7,2.02,9.610790810333974
-9.6,-0.12,1.42,9.705194485428924
-9.71,-0.06,0.64,9.731253773281225
-9.72,-0.21,0.03,9.722314539244245
-9.57,-0.34,-0.34,9.58207180102508
-9.19,-0.23,-0.64,9.215128865078338
-8.48,0.01,-0.86,8.523502801078909
-7.51,0.03,-0.99,7.575031353070428
-6.52,-0.37,-0.98,6.603612647634626
-5.66,-0.94,-0.82,5.795826084347253
-4.94,-1.36,-0.69,5.170038684574807
-4.32,-1.6,-0.79,4.674023962283463
-3.84,-1.79,-0.91,4.333335897435139
-3.43,-2.01,-0.85,4.065402809070708
-3.05,-2.47,-0.6,3.970314848976086
-2.81,-3.62,-0.41,4.600934687647718
-3.01,-6.27,-0.17,6.957147403929285
-4.04,-11.05,-0.26,11.76824965744694
-5.98,-17.24,-1.47,18.3067992833264
-8.16,-19.61,-3.06,21.459294023802368
-9.35,-19.61,-3.44,21.995640477149102
-8.53,-19.61,-3.34,21.64413546437002
-4.98,-19.59,-4.05,20.61482476277691
0.55,-19.6,-4.71,20.16548040588173
6.09,-19.61,-4.22,20.963029361234984
10.48,-19.61,-2.79,22.4090740549448
12.3,-19.61,-1.17,23.17781266642735
11.29,-19.61,0.14,22.628208059853083
8.79,-18.85,0.96,20.820859732489435
6.26,-16.37,0.77,17.54301570426248
4.58,-14.07,0.27,14.799128352710508
3.93,-12.29,0.06,12.903201153202254
4.23,-10.41,-0.02,11.23660980901268
5.05,-8.41,-0.06,9.80990315956279
5.73,-6.32,-0.08,8.531219139138322
5.96,-4.29,-0.2,7.346135038236093
5.73,-2.86,-0.07,6.40448280503586
5.31,-2.21,0.2,5.755015204150202
5.02,-1.95,0.44,5.403378572708005
4.97,-1.55,0.91,5.28502601696529
4.99,-0.57,2.02,5.413446222139831
4.91,1.17,2.52,5.641577793490045
4.71,2.94,2.47,6.0768906522990855
4.44,4.35,3.08,6.937038272923107
4.31,5.16,3.38,7.525031561395607
4.35,5.27,3.34,7.605984485916336
4.49,4.87,3.12,7.321980606366013
4.56,4.24,2.79,6.823144436401739
4.46,3.7,2.46,6.295490449520196
4.22,3.41,2.21,5.858378615282559
3.96,3.32,2.06,5.563056713714143
3.83,3.21,1.95,5.364280007605867
3.78,2.92,1.73,5.080127951144537
3.76,2.31,1.41,4.632688204487757
3.66,1.45,0.93,4.0451205173641
3.45,0.5,0.22,3.492978671563856
3.14,-0.48,-0.47,3.211059015340578
2.76,-1.68,-0.9,3.3541019662496843
2.34,-3.56,-0.92,4.358394199702454
2.12,-6.83,-0.91,7.209119224981648
2.54,-12.18,-2.25,12.643832488608824
3.34,-18.0,-5.07,18.996328592651796
3.95,-19.61,-8.13,21.5928576154246
3.88,-19.61,-8.95,21.902260157344493
3.71,-19.61,-8.12,21.54647534981069
5.68,-19.59,-7.6,21.76672919848088
7.74,-19.6,-8.44,22.700246694694755
6.71,-19.61,-9.54,22.816393229430457
3.51,-19.61,-8.87,21.80708829715696
0.79,-19.61,-7.26,20.92567322692391
-0.77,-19.57,-5.9,20.45453006060027
-2.01,-18.14,-4.96,18.912992888488063
-3.4,-15.16,-4.17,16.086469469712736
-4.77,-12.77,-3.42,14.054259140915256
