x,y,z,a
7.11,-17.61,-8.46,20.790281383377188
7.15,-14.71,-5.3,17.19292296266112
7.86,-11.57,-2.44,14.198524571236266
8.82,-8.72,-0.12,12.403435008093524
9.67,-6.39,1.4,11.674801925514624
10.46,-4.44,2.32,11.597741159380996
11.01,-2.42,2.86,11.62996560614003
11.04,-0.03,3.82,11.682247215326338
11.2,2.62,5.72,12.846120036804887
12.36,4.82,8.17,15.580465333230585
14.39,5.76,10.36,18.64347875263627
15.96,5.28,11.33,20.27236789326792
16.2,3.95,10.73,19.82865098790132
15.59,2.6,9.03,18.20299425918714
15.1,1.59,6.88,16.669508091122545
14.84,1.08,5.39,15.825425744667976
14.73,0.9,5.01,15.584704039538256
14.45,0.93,5.22,15.39206938653799
14.18,1.17,5.03,15.091129845044737
14.0,1.19,4.21,14.667658299810505
14.04,0.37,1.96,14.180976694149102
15.35,-2.42,-2.46,15.733102046322587
17.8,-8.62,-7.85,21.278319952477453
18.97,-16.44,-13.65,28.573711694492893
17.95,-19.61,-18.12,32.17279907002187
15.94,-19.61,-19.61,31.98730685756461
14.86,-19.61,-19.61,31.463054524314703
14.24,-19.59,-19.61,31.162442137932644
12.02,-19.6,-19.6,30.21258678100901
8.63,-19.61,-19.61,29.04446763154732
5.53,-19.61,-19.61,28.27870400142128
3.24,-19.61,-19.27,27.683616093277987
1.32,-19.61,-17.39,26.24322007681222
-0.47,-19.61,-14.47,24.37527230617127
-2.11,-19.07,-11.5,22.36888463915892
-3.56,-16.76,-8.92,19.316769916318822
-4.83,-13.8,-6.75,16.103769745000704
-5.96,-11.3,-5.07,13.74468988373328
-7.15,-9.38,-3.96,12.441402654041866
-8.47,-7.86,-3.3,12.017091994322088
-9.88,-6.55,-2.95,12.215539284043093
-11.51,-5.38,-2.63,12.97464450380048
-13.52,-4.48,-2.55,14.469391832416454
-16.16,-3.77,-2.73,16.8169973538679
-18.78,-2.95,-2.89,19.228702504329306
-19.61,-2.05,-3.05,19.951368374124115
-19.61,-1.66,-3.46,19.981974376922818
-19.08,-2.03,-4.49,19.706024459540284
-17.77,-2.87,-5.24,18.74746382847557
-16.97,-3.78,-4.18,17.881322658013865
-17.14,-4.36,-1.15,17.72319666425896
-17.91,-4.37,1.98,18.54145086016733
-17.91,-5.48,3.2,19.00101313088331
-16.65,-9.84,1.36,19.38808139038002
-14.75,-16.55,-3.05,22.37783501592592
-11.9,-19.61,-8.93,24.61517824432722
-7.79,-19.61,-14.43,25.562885204921606
-4.07,-19.61,-18.04,26.954750972694963
-2.02,-19.6,-19.61,27.799145670325917
0.85,-19.6,-19.53,27.682185607354057
0.59,-19.61,-17.11,26.03175560733467
-2.22,-19.61,-15.11,24.855434013511008
0.72,-19.61,-14.39,24.333980356694628
8.41,-19.61,-13.61,25.30834447371064
13.04,-19.61,-10.8,25.908178245488436
12.0,-19.37,-7.02,23.842762004432288
9.61,-17.34,-3.97,20.218521211997675
8.54,-14.23,-1.59,16.67191050839705
8.32,-10.74,0.15,13.586482252592097
8.44,-7.25,1.59,11.239403898783957
9.04,-4.2,2.7,10.327226152263734
9.99,-1.92,3.63,10.801083279004937
11.15,-0.34,4.55,12.047431261476447
12.27,1.25,5.57,13.532933902151449
13.36,3.2,6.83,15.342050058580828
14.5,5.01,8.13,17.3622291195572
15.12,6.1,9.62,18.93063126258604
15.17,6.25,11.18,19.85406255656509
15.08,5.3,11.52,19.702964243991307
15.19,3.78,10.41,18.7987393194331
15.14,2.78,8.12,17.40351688596302
14.53,2.56,5.64,15.795065685206882
13.65,2.32,3.79,14.355103622057207
12.55,1.67,3.06,13.02516794517445
11.89,1.29,3.41,12.43641025376696
12.09,1.31,3.62,12.6881283095656
12.77,0.41,2.02,12.935277345306517
13.95,-2.67,-2.92,14.50026896302272
16.31,-8.86,-8.88,20.57595927289904
18.74,-16.68,-13.92,28.69105086956558
19.61,-19.61,-17.42,32.74997099235357
18.78,-19.61,-18.62,32.92331848401677
17.11,-19.61,-19.26,32.376716942889686
15.77,-19.59,-19.59,31.878348451574464
14.35,-19.6,-18.98,30.82730769950565
12.34,-19.61,-17.73,29.174999571550984
10.1,-19.61,-16.9,27.78798481358445
7.39,-19.61,-16.08,26.414590665009364
4.37,-19.61,-14.79,24.94780751889833
1.54,-19.61,-13.12,23.644409487233972
-0.76,-19.61,-11.76,22.87853360685514
-2.51,-19.25,-11.22,22.422109624207977
-3.92,-16.92,-11.1,20.612200270713465
-4.92,-12.97,-10.83,17.59875563782849
-5.34,-8.49,-9.88,14.078710878486
-5.52,-4.63,-8.14,10.870459971868716
-6.07,-2.39,-5.93,8.816002495462442
-7.67,-1.9,-3.69,8.720951782919109
-10.86,-2.47,-2.96,11.523979347430297
-15.41,-3.49,-4.33,16.382829425956924
-19.07,-4.04,-5.88,20.360768649537768
-19.61,-3.07,-6.48,20.87983237480608
-18.63,-1.7,-6.3,19.739728974836503
-15.8,-1.71,-5.45,16.800791648014687
-15.62,-3.08,-4.33,16.499081792633188
-17.95,-4.83,-2.77,18.79373033753544
-19.54,-6.18,-0.82,20.510397363288696
-19.61,-7.47,0.24,20.98596197461532
-18.48,-9.96,-0.53,20.999830951700535
-15.42,-13.73,-2.45,20.79162812287677
-11.85,-17.81,-5.3,22.038797607855106
-8.25,-19.61,-9.61,23.34452184132286
-4.82,-19.61,-14.62,24.93048134312693
-2.7,-19.61,-18.13,26.842857522998557
-1.79,-19.6,-18.6,27.07995753320156
2.8,-19.61,-10.97,22.64360836969232
1.56,-19.61,-10.4,22.25186958437425
