x,y,z,a
12.56,-5.77,3.79,14.33215266455113
10.27,-2.31,4.31,11.374757140264578
8.12,-0.29,4.22,9.155703140665931
6.06,-0.37,3.28,6.900644897399083
4.76,-1.88,2.41,5.65686308832024
4.46,-3.43,1.26,5.765769679756555
4.75,-3.46,0.07,5.876989025002514
4.92,-1.42,-0.82,5.186058233379182
4.5,1.8,-1.37,5.036556363230734
3.78,5.16,-1.0,6.47410225436701
3.29,8.22,0.19,8.855992321586555
3.2,11.11,1.54,11.663777261247748
3.59,13.42,2.78,14.167318024241569
4.42,14.24,3.51,15.31777072553314
5.34,13.73,3.37,15.112425351345824
5.76,12.69,2.67,14.18952430492298
5.47,11.82,1.52,13.112730455553487
4.69,11.34,0.53,12.283020801089608
3.8,10.96,0.03,11.60010775812018
3.01,10.27,-0.23,10.704480370386973
2.56,9.16,-0.47,9.522609936356734
2.55,7.73,-0.73,8.172410904990032
2.93,6.18,-1.16,6.937067103610862
3.51,4.61,-1.88,6.091518694053232
4.14,3.14,-2.58,5.801344671711895
4.86,1.79,-3.05,6.010507466096352
5.82,0.28,-2.59,6.376433172236655
7.32,-1.93,-0.87,7.619986876629119
10.24,-5.67,1.42,11.790797258879486
14.55,-9.75,2.58,17.703711475281107
18.55,-14.19,2.55,23.49385238737998
19.61,-18.77,-0.23,27.14623178269868
19.61,-19.61,-7.15,28.639600206706795
19.61,-19.61,-14.24,31.17501884522285
19.6,-19.61,-17.78,32.93691697776221
19.61,-19.6,-18.31,33.226016914460274
19.59,-19.61,-14.67,31.36126751265006
17.83,-19.61,-9.2,28.05532035104928
13.99,-19.61,-4.36,24.480232842029917
10.17,-19.61,-1.42,22.135884893087063
6.52,-19.06,-0.63,20.154178226859067
3.58,-16.32,-0.51,16.71582782873765
1.23,-12.71,-0.42,12.77628271446746
-1.1,-9.61,-0.45,9.68321227692546
-3.35,-7.27,-0.58,8.025696231480481
-4.93,-5.53,-0.77,7.448402513291021
-5.56,-4.15,-1.02,7.012595810397174
-5.47,-3.09,-1.13,6.383251522539276
-5.28,-2.21,-1.11,5.8304888302782985
-5.46,-1.4,-1.13,5.748782479795178
-5.99,-0.5,-1.13,6.116126224989148
-6.69,0.58,-1.12,6.807855756403773
-7.39,1.51,-1.72,7.736316953176104
-7.78,1.79,-2.75,8.443636657270373
-7.76,1.75,-3.69,8.769047838847728
-7.44,1.95,-3.99,8.664652330013018
-7.1,2.27,-3.7,8.321832730835197
-6.98,2.33,-3.3,8.064694662539928
-7.1,2.17,-2.91,7.974145722270191
-7.39,2.14,-2.64,8.133959675336484
-7.67,2.21,-2.52,8.370388282511152
-7.76,2.23,-2.49,8.449295828647498
-7.33,1.92,-2.51,7.98219268121235
-6.37,1.06,-2.59,6.957628906459441
-5.48,-0.1,-2.0,5.834415137783735
-5.05,-1.6,-2.98,6.0780671269738376
-4.37,-4.24,-4.24,7.419710236929742
-3.28,-8.38,-5.91,10.766192456017125
-1.54,-14.5,-8.2,16.72906452853835
1.32,-19.16,-11.23,22.247716736779974
5.14,-19.61,-14.0,24.636795652032347
8.38,-19.61,-15.39,26.298832673713864
12.24,-19.61,-15.62,27.89899818989922
17.49,-19.6,-16.06,30.789343935848976
19.61,-19.61,-14.63,31.35508092797721
19.61,-19.61,-5.33,28.24027443209432
19.59,-19.61,-3.27,27.910806151023294
18.33,-19.61,-3.84,27.11616860841516
15.85,-19.12,-3.91,25.141300682343388
15.11,-15.36,-2.61,21.70377386539032
15.12,-9.9,-1.29,18.11873339944048
13.8,-5.93,-0.68,15.035534576462522
10.99,-3.76,-0.99,11.6575211773344
7.75,-2.53,-1.78,8.344567094822834
